SUBJECT,RELATION,OBJECT
813,similarTo,463
78,similarTo,814
853,similarTo,674
976,similarTo,1027
874,similarTo,510
815,similarTo,834
594,similarTo,889
612,similarTo,846
434,similarTo,814
808,similarTo,253
695,similarTo,856
3,similarTo,809
807,similarTo,49
889,similarTo,487
816,similarTo,109
923,similarTo,850
865,similarTo,581
692,similarTo,880
835,similarTo,815
505,similarTo,830
919,similarTo,814
848,similarTo,493
824,similarTo,567
985,similarTo,991
824,similarTo,87
147,similarTo,858
829,similarTo,904
535,similarTo,815
834,similarTo,236
1011,similarTo,1028
866,similarTo,660
862,similarTo,206
142,similarTo,883
857,similarTo,127
888,similarTo,102
815,similarTo,269
299,similarTo,848
869,similarTo,197
124,similarTo,822
832,similarTo,488
813,similarTo,600
294,similarTo,803
989,similarTo,985
234,similarTo,848
864,similarTo,589
790,similarTo,826
820,similarTo,236
848,similarTo,305
799,similarTo,954
803,similarTo,145
814,similarTo,78
835,similarTo,132
466,similarTo,805
886,similarTo,507
266,similarTo,858
802,similarTo,635
500,similarTo,846
848,similarTo,794
828,similarTo,857
1003,similarTo,960
798,similarTo,90
817,similarTo,18
188,similarTo,805
816,similarTo,513
991,similarTo,985
837,similarTo,844
873,similarTo,550
815,similarTo,35
130,similarTo,849
976,similarTo,996
811,similarTo,809
515,similarTo,807
87,similarTo,824
333,similarTo,864
811,similarTo,121
878,similarTo,780
886,similarTo,69
42,similarTo,804
655,similarTo,815
284,similarTo,861
652,similarTo,832
960,similarTo,1003
850,similarTo,923
925,similarTo,805
855,similarTo,910
837,similarTo,127
431,similarTo,832
527,similarTo,883
799,similarTo,200
813,similarTo,461
758,similarTo,809
962,similarTo,1007
804,similarTo,42
847,similarTo,536
875,similarTo,167
819,similarTo,509
826,similarTo,620
826,similarTo,722
885,similarTo,614
859,similarTo,432
809,similarTo,758
170,similarTo,803
850,similarTo,303
805,similarTo,691
820,similarTo,576
833,similarTo,233
844,similarTo,196
945,similarTo,808
143,similarTo,814
1021,similarTo,1028
403,similarTo,874
1024,similarTo,978
838,similarTo,920
683,similarTo,888
834,similarTo,942
993,similarTo,861
759,similarTo,801
876,similarTo,747
834,similarTo,871
850,similarTo,669
829,similarTo,926
565,similarTo,884
847,similarTo,611
738,similarTo,830
867,similarTo,576
837,similarTo,288
802,similarTo,348
845,similarTo,578
296,similarTo,851
833,similarTo,280
852,similarTo,896
806,similarTo,166
806,similarTo,93
806,similarTo,933
818,similarTo,721
848,similarTo,299
157,similarTo,873
814,similarTo,203
883,similarTo,142
501,similarTo,864
845,similarTo,673
873,similarTo,783
802,similarTo,495
861,similarTo,104
813,similarTo,300
867,similarTo,196
63,similarTo,812
784,similarTo,856
842,similarTo,640
823,similarTo,192
597,similarTo,805
257,similarTo,848
617,similarTo,799
845,similarTo,48
643,similarTo,873
805,similarTo,188
868,similarTo,120
98,similarTo,885
802,similarTo,111
158,similarTo,856
648,similarTo,834
957,similarTo,936
825,similarTo,897
13,similarTo,808
958,similarTo,1028
855,similarTo,418
861,similarTo,644
826,similarTo,298
817,similarTo,618
67,similarTo,817
137,similarTo,813
962,similarTo,1020
860,similarTo,65
839,similarTo,685
11,similarTo,802
828,similarTo,871
1020,similarTo,962
852,similarTo,246
502,similarTo,807
590,similarTo,802
808,similarTo,221
162,similarTo,863
743,similarTo,798
842,similarTo,75
809,similarTo,757
1012,similarTo,1001
854,similarTo,812
583,similarTo,825
520,similarTo,798
427,similarTo,835
310,similarTo,808
181,similarTo,877
119,similarTo,821
824,similarTo,1
868,similarTo,20
812,similarTo,63
814,similarTo,351
813,similarTo,141
814,similarTo,919
851,similarTo,922
830,similarTo,505
855,similarTo,41
783,similarTo,873
477,similarTo,848
855,similarTo,200
1,similarTo,824
859,similarTo,946
882,similarTo,541
951,similarTo,806
831,similarTo,353
853,similarTo,908
806,similarTo,301
871,similarTo,576
823,similarTo,438
841,similarTo,171
148,similarTo,848
771,similarTo,807
829,similarTo,905
810,similarTo,796
877,similarTo,380
805,similarTo,374
654,similarTo,821
723,similarTo,802
661,similarTo,817
622,similarTo,859
177,similarTo,861
811,similarTo,274
804,similarTo,690
957,similarTo,960
306,similarTo,868
780,similarTo,878
865,similarTo,942
874,similarTo,640
801,similarTo,707
869,similarTo,251
799,similarTo,103
881,similarTo,271
965,similarTo,936
123,similarTo,839
845,similarTo,808
216,similarTo,846
833,similarTo,383
836,similarTo,905
831,similarTo,857
843,similarTo,371
981,similarTo,999
875,similarTo,910
475,similarTo,878
21,similarTo,813
440,similarTo,833
865,similarTo,835
1023,similarTo,976
356,similarTo,825
879,similarTo,449
981,similarTo,960
834,similarTo,732
596,similarTo,866
805,similarTo,466
775,similarTo,808
813,similarTo,88
38,similarTo,858
861,similarTo,512
657,similarTo,863
881,similarTo,801
825,similarTo,915
807,similarTo,632
807,similarTo,502
857,similarTo,410
816,similarTo,349
626,similarTo,827
976,similarTo,994
799,similarTo,115
820,similarTo,260
806,similarTo,689
814,similarTo,153
844,similarTo,905
687,similarTo,857
994,similarTo,976
516,similarTo,848
861,similarTo,598
849,similarTo,74
521,similarTo,853
870,similarTo,930
698,similarTo,804
