tid,LEGAL_SCJUDGE,LEGAL_DESIGN,LEGAL_GEN,LEGAL_PATENT,LEGAL_TRADEMARK,LEGAL_COPYRIGHT,LEGAL_RESERVATION_CATEGORY,LEGAL_CRIMINAL_PROCEDURE,LEGAL_ENTITY,LAW,INFRINGEMENT,PERSON,NATION/RELIGIOUS/POL_GROUP,GEOGRAPHICAL_LOC,LANGUAGE,LOCATION_STRUCTURE,LOCATION,CONTACTNAME,ORGANIZATION,ORGANIZATION2,GEOGRAPHY2,DATETIME,PERCENT,COPYRIGHT_ACT,PATENTS_ACT,DESIGNS_ACT,INFORMATION_TECHNOLOGY_ACT,TRADEMARK_ACT
1902038,0,6,7,2,0,2,4,39,10,497,1,258,115,66,5,418,75,10,225,71,326,9,98,0,0,0,0,0
74910860,-1,8,3,2,0,0,4,-1,4,88,0,127,1,142,0,214,136,12,48,50,282,201,3,0,0,0,0,0
51689837,0,8,1,0,0,0,4,53,7,298,0,659,1,192,0,165,40,368,48,50,0,111,3,0,0,0,0,0
6547,0,8,3,0,0,7,7,0,7,63,0,135,127,105,2,347,110,196,39,87,19,117,53,0,0,0,0,0
1844910,-1,8,1,0,0,0,0,21,10,57,0,308,104,107,0,2,116,300,174,144,0,148,3,0,0,0,0,0
1024124,0,5,5,0,0,0,0,5,10,479,0,412,9,9,0,2,40,266,48,50,223,96,3,0,0,0,0,0
79561,0,0,13,0,0,13,4,16,7,230,0,493,53,9,0,2,0,309,39,40,0,126,3,0,0,0,0,0
119316583,0,5,0,0,0,0,0,39,8,2,0,38,1,0,0,2,0,28,21,195,0,180,3,0,0,0,0,0
1890994,7,0,1,0,0,0,4,23,7,37,0,102,11,88,0,383,191,36,205,172,0,151,3,0,0,0,0,0
982330,0,5,1,0,0,0,0,16,10,8,0,350,1,27,0,317,29,10,39,10,0,150,3,0,0,0,0,0
175238601,47,5,21,0,8,3,4,40,4,183,1,479,1,66,0,195,75,295,48,50,169,172,3,1,0,0,0,1
793618,0,7,21,0,6,3,0,16,0,280,1,96,130,235,2,143,116,110,48,50,0,167,3,0,1,1,0,0
181459283,8,8,15,2,0,7,7,16,8,449,1,117,53,105,0,369,116,10,34,30,104,185,20,0,1,0,0,0
1281050,0,5,5,0,0,7,7,4,10,37,0,4,58,290,0,353,98,7,75,144,0,326,91,0,0,0,0,0
1149874,0,1,1,2,0,0,4,0,4,8,0,258,53,288,0,2,245,10,44,120,44,122,30,0,0,0,0,0
625240,0,8,-1,0,0,-1,0,-1,7,284,1,480,53,101,2,16,265,296,141,50,79,179,3,1,0,0,0,0
871220,0,8,15,0,0,7,4,4,7,536,0,162,55,290,2,304,287,107,75,71,147,119,64,0,0,0,0,0
866760,0,2,11,0,0,0,0,48,9,443,0,134,73,143,0,432,67,386,48,144,0,112,3,0,0,0,0,0
1240131,0,0,21,0,0,7,4,4,10,8,0,230,1,105,0,2,116,10,228,53,0,110,3,0,0,0,0,0
162432291,0,1,21,0,0,0,0,16,4,542,0,124,53,105,0,2,116,70,48,144,0,170,3,0,0,0,0,0
